Model,Label,Candidate,Mean Oddr_label,Mean Oddr,Mean Difference,Std Dev Original,Std Dev Intervention,Std Dev Difference,Logical Cohen D,original_fwp,intervention_fwp
0,remove,remove,0.2125,0.1954,0.0086,1.7440,1.6337,-0.1103,-0.0572,0.9786,0.7357
0,remove,append,0.2125,0.1954,0.0228,1.7440,1.6337,-0.1103,-0.0954,0.9786,0.7357
0,append,remove,-0.2008,-0.2524,-0.0039,2.0640,2.0791,0.0151,0.2513,0.8140,1.0664
0,append,append,-0.2008,-0.2524,-0.0276,2.0640,2.0791,0.0151,0.0815,0.8140,1.0664
1,remove,remove,-4.3629,6.8117,-0.5308,1.3628,2.8661,1.5032,2.1004,0.0357,0.2286
1,remove,append,-4.3629,6.8117,0.3366,1.3628,2.8661,1.5032,-1.6453,0.0357,0.2286
1,append,remove,-4.4690,9.5318,0.4953,1.9951,2.9124,0.9172,-1.9963,0.0299,0.0498
1,append,append,-4.4690,9.5318,-0.5226,1.9951,2.9124,0.9172,1.9521,0.0299,0.0498
2,remove,remove,-5.2230,6.9863,-0.5828,2.0080,3.2734,1.2654,2.2898,0.0500,0.2071
2,remove,append,-5.2230,6.9863,0.3858,2.0080,3.2734,1.2654,-1.7148,0.0500,0.2071
2,append,remove,-5.2949,10.1290,0.5151,2.8220,3.7806,0.9586,-1.9595,0.0764,0.0432
2,append,append,-5.2949,10.1290,-0.5227,2.8220,3.7806,0.9586,1.7465,0.0764,0.0432
3,remove,remove,-4.3554,5.8969,-0.3921,1.7024,4.4719,2.7695,1.2804,0.0357,0.1786
3,remove,append,-4.3554,5.8969,0.2450,1.7024,4.4719,2.7695,-1.0159,0.0357,0.1786
3,append,remove,-5.5964,11.8940,0.5463,2.6109,3.3663,0.7554,-2.0417,0.0465,0.0565
3,append,append,-5.5964,11.8940,-0.5727,2.6109,3.3663,0.7554,2.0042,0.0465,0.0565
4,remove,remove,-5.1560,7.1744,-0.5493,1.2475,4.0750,2.8275,2.0472,0.0143,0.1929
4,remove,append,-5.1560,7.1744,0.3700,1.2475,4.0750,2.8275,-1.6509,0.0143,0.1929
4,append,remove,-5.0494,11.0082,0.5496,1.9554,3.1764,1.2210,-2.0746,0.0664,0.0631
4,append,append,-5.0494,11.0082,-0.5641,1.9554,3.1764,1.2210,2.0080,0.0664,0.0631
