Model,Label,Candidate,Mean Difference,Std Dev Original,Std Dev Intervention,Std Dev Difference,Logical Cohen D
0,remove,remove,0.0048,0.9900,1.0027,0.0127,-0.2334
0,remove,append,-0.0024,0.9900,1.0027,0.0127,0.0203
0,append,remove,-0.0048,1.7833,1.8205,0.0372,0.2402
0,append,append,0.0032,1.7833,1.8205,0.0372,-0.0229
1,remove,remove,-0.5038,1.4714,2.2232,0.7518,2.3209
1,remove,append,0.5871,1.4714,2.2232,0.7518,-2.7048
1,append,remove,0.3484,1.2116,1.5830,0.3715,-1.7656
1,append,append,-0.4748,1.2116,1.5830,0.3715,2.1337
2,remove,remove,-0.7350,1.6024,2.0231,0.4207,3.8425
2,remove,append,0.6038,1.6024,2.0231,0.4207,-2.7367
2,append,remove,0.5671,1.3557,2.2809,0.9253,-2.2782
2,append,append,-0.5638,1.3557,2.2809,0.9253,2.2126
3,remove,remove,-0.7457,1.6650,2.9903,1.3252,3.5880
3,remove,append,0.6051,1.6650,2.9903,1.3252,-2.8616
3,append,remove,0.5725,1.3521,2.5826,1.2305,-2.2588
3,append,append,-0.5496,1.3521,2.5826,1.2305,2.1579
4,remove,remove,-0.7787,1.5283,2.9724,1.4441,4.3375
4,remove,append,0.6549,1.5283,2.9724,1.4441,-3.2095
4,append,remove,0.5897,1.2162,2.1508,0.9347,-2.3515
4,append,append,-0.5866,1.2162,2.1508,0.9347,2.5095
